id,value_ipa,value_sampa,audio_id,diacritic,sound_type,usage_count
8,ɪ,I,,false,VOWEL,49
10,ə,@,,false,VOWEL,48
18,t,t,,false,CONSONANT,39
5,æ,{,,false,VOWEL,38
78,ˈ,"""",,false,,36
36,n,n,,false,CONSONANT,35
21,d,d,,false,CONSONANT,33
38,r,r,,false,CONSONANT,32
28,ð,D,,false,CONSONANT,31
7,ɛ,E,,false,VOWEL,27
29,s,s,,false,CONSONANT,26
1,ɑ,A,,false,VOWEL,26
3,u,u,,false,VOWEL,23
39,w,w,,false,CONSONANT,23
9,ʊ,U,,false,VOWEL,21
19,k,k,,false,CONSONANT,20
35,m,m,,false,CONSONANT,20
2,ɔ,O,,false,VOWEL,18
40,j,j,,false,CONSONANT,17
34,l,l,,false,CONSONANT,17
6,ʌ,V,,false,VOWEL,17
37,ŋ,N,,false,CONSONANT,15
20,b,b,,false,CONSONANT,14
4,iː,i,,false,VOWEL,12
30,z,z,,false,CONSONANT,10
17,p,p,,false,CONSONANT,6
22,g,g,,false,CONSONANT,4
33,h,h,,false,CONSONANT,4
84,ɜ,3,,false,VOWEL,4
27,θ,T,,false,CONSONANT,4
12,aʊ,aU,,false,VOWEL,3
25,f,f,,false,CONSONANT,3
86,o,o,,false,VOWEL,3
31,ʃ,S,,false,CONSONANT,3
24,dʒ,dZ,,false,CONSONANT,1
26,v,v,,false,CONSONANT,1
82,.,.,,false,,0
11,r̩,r_=,,false,CONSONANT,0
23,tʃ,tS,,false,CONSONANT,0
16,ɑɪ,AI,,false,VOWEL,0
13,ɔɪ,OI,,false,VOWEL,0
14,əʊ,@U,,false,VOWEL,0
15,ɛɪ,EI,,false,VOWEL,0
81,ɝ,@`,,false,,0
32,ʒ,Z,,false,CONSONANT,0
79,ˌ,%,,false,,0
85,∅,*,,false,,0
